method,model_name,task_name,train_subset_size,num_train_epochs,seed,accuracy,learning_rate,batch_size,max_length,lora_r,lora_alpha,warmup_ratio,bf16,elapsed_seconds,total_parameters,trainable_parameters,trainable_percentage
bitfit,bert-base-uncased,qnli,1280,1,11,0.6428702178290316,0.0002,16,128,,,0.1,True,2.2,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,1280,1,17,0.6278601501006773,0.0002,16,128,,,0.1,True,2.5,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,1280,1,23,0.6457990115321252,0.0002,16,128,,,0.1,True,2.2,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,80,2,11,0.533040453963024,0.0002,16,128,,,0.1,True,1.4,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,80,2,17,0.3919092073952041,0.0002,16,128,,,0.1,True,1.3,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,80,2,23,0.45872231374702543,0.0002,16,128,,,0.1,True,1.2,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,320,2,11,0.5453047775947282,0.0002,16,128,,,0.1,True,1.9,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,320,2,17,0.5566538531942157,0.0002,16,128,,,0.1,True,1.8,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,320,2,23,0.5449386783818415,0.0002,16,128,,,0.1,True,1.6,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,1280,2,11,0.6635548233571298,0.0002,16,128,,,0.1,True,3.5,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,1280,2,17,0.662090426505583,0.0002,16,128,,,0.1,True,3.7,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,1280,2,23,0.6697785099762036,0.0002,16,128,,,0.1,True,3.5,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,80,5,11,0.594911220940875,0.0002,16,128,,,0.1,True,1.5,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,80,5,17,0.5449386783818415,0.0002,16,128,,,0.1,True,1.4,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,80,5,23,0.4891085484166209,0.0002,16,128,,,0.1,True,1.5,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,320,5,11,0.6545853926414058,0.0002,16,128,,,0.1,True,3.2,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,320,5,17,0.6254805052169138,0.0002,16,128,,,0.1,True,2.8,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,320,5,23,0.6414058209774849,0.0002,16,128,,,0.1,True,2.5,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,1280,5,11,0.7095002745744097,0.0002,16,128,,,0.1,True,6.7,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,1280,5,17,0.700164744645799,0.0002,16,128,,,0.1,True,7.1,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,1280,5,23,0.6997986454329124,0.0002,16,128,,,0.1,True,7.2,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,80,10,11,0.5837451949478308,0.0002,16,128,,,0.1,True,1.8,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,80,10,17,0.6522057477576423,0.0002,16,128,,,0.1,True,1.8,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,80,10,23,0.5707486728903532,0.0002,16,128,,,0.1,True,1.8,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,320,10,11,0.689547867472085,0.0002,16,128,,,0.1,True,4.2,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,320,10,17,0.6732564524986271,0.0002,16,128,,,0.1,True,4.8,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,320,10,23,0.6686802123375435,0.0002,16,128,,,0.1,True,3.9,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,1280,10,11,0.7362255171151382,0.0002,16,128,,,0.1,True,13.7,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,1280,10,17,0.7252425407285374,0.0002,16,128,,,0.1,True,15.4,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,1280,10,23,0.727622185612301,0.0002,16,128,,,0.1,True,12.8,109483778,104450,0.0954
full_ft,bert-base-uncased,qnli,80,1,11,0.5273659161632802,2e-05,16,128,,,0.1,True,1.4,109483778,109483778,100.0
full_ft,bert-base-uncased,qnli,80,1,17,0.5310269082921472,2e-05,16,128,,,0.1,True,1.2,109483778,109483778,100.0
full_ft,bert-base-uncased,qnli,80,1,23,0.5297455610470437,2e-05,16,128,,,0.1,True,1.2,109483778,109483778,100.0
full_ft,bert-base-uncased,qnli,320,1,11,0.528281164195497,2e-05,16,128,,,0.1,True,1.6,109483778,109483778,100.0
full_ft,bert-base-uncased,qnli,320,1,17,0.5286472634083836,2e-05,16,128,,,0.1,True,1.5,109483778,109483778,100.0
full_ft,bert-base-uncased,qnli,320,1,23,0.5293794618341571,2e-05,16,128,,,0.1,True,1.6,109483778,109483778,100.0
full_ft,bert-base-uncased,qnli,1280,1,11,0.5614131429617426,2e-05,16,128,,,0.1,True,2.7,109483778,109483778,100.0
full_ft,bert-base-uncased,qnli,1280,1,17,0.594911220940875,2e-05,16,128,,,0.1,True,2.9,109483778,109483778,100.0
full_ft,bert-base-uncased,qnli,1280,1,23,0.5652571846970529,2e-05,16,128,,,0.1,True,2.6,109483778,109483778,100.0
full_ft,bert-base-uncased,qnli,80,2,11,0.5301116602599304,2e-05,16,128,,,0.1,True,1.3,109483778,109483778,100.0
full_ft,bert-base-uncased,qnli,80,2,17,0.5293794618341571,2e-05,16,128,,,0.1,True,1.4,109483778,109483778,100.0
full_ft,bert-base-uncased,qnli,80,2,23,0.528830313014827,2e-05,16,128,,,0.1,True,1.2,109483778,109483778,100.0
full_ft,bert-base-uncased,qnli,320,2,11,0.5332235035694673,2e-05,16,128,,,0.1,True,1.9,109483778,109483778,100.0
full_ft,bert-base-uncased,qnli,320,2,17,0.543108182317408,2e-05,16,128,,,0.1,True,2.1,109483778,109483778,100.0
full_ft,bert-base-uncased,qnli,320,2,23,0.538898041369211,2e-05,16,128,,,0.1,True,1.8,109483778,109483778,100.0
